titles,url,current,latest
Magic Emperor,https://chapmanganato.to/manga-gr983826,Chapter 1,Chapter 559
My Second Life is a Healing Life?,https://chapmanganato.to/manga-wd1000112,Chapter 9: The End Of Peace,Chapter 25: Light In The Darkness (5)
Helmut: The Forsaken Child,https://chapmanganato.to/manga-om992195,Chapter 26,Chapter 72
Baek XX,https://chapmanganato.to/manga-qe994039,Chapter 60,Chapter 73: Solidarity Meeting
TSUYOSHI,https://manganato.com/manga-hq985151,Vol.5 Chapter 43: Cheers,Vol.15 Chapter 165: Takehi Gouda's Ability
"Ochikobore Kenshi, Tsuihousareta no de Majutsushi ni Tenkou suru Kenshi no Toki wa Gomi Skill datta “Zettai Kioku” wa Majutsushi ni Totte wa Kami Skill deshita",https://manganato.com/manga-uw997379,Vol.3 Chapter 24: Stubborn,Vol.4 Chapter 26: Throws A Stone
Dungeon ni Hisomu Yandere na Kanojo ni Ore wa Nando mo Korosareru,https://manganato.com/manga-tc997159,Chapter 13.2,Chapter 14
The Greatest Estate Designer,https://chapmanganato.to/manga-mf989614,Chapter 144,Chapter 145
Ranker Who Lives A Second Time,https://chapmanganato.to/manga-ec981811,Chapter 163,Chapter 175
Doctor’s Rebirth,https://chapmanganato.to/manga-kp987798,Chapter 9,Chapter 155
Webtoon Character Na Kang Lim,https://chapmanganato.to/manga-om991395,Chapter 2,Chapter 167
Nan Hao & Shang Feng,https://chapmanganato.to/manga-gh984242,Chapter 121: When Your Friend Is In Trouble,Chapter 123
My Little Brother Is The Academy’s Hotshot,https://chapmanganato.to/manga-ri994543,Chapter 73,Chapter 75
Ore wa Subete wo “Parry” Suru,https://manganato.com/manga-kx987380,Chapter 16,Chapter 17.2
Amagami-san Chi no Enmusubi,https://chapmanganato.to/manga-la988909,"Chapter 35: The True Colors Of The Night, Salvation",Chapter 140
Star-Embracing Swordmaster,https://chapmanganato.to/manga-vs998975,Chapter 23,Chapter 45
Survival Story of a Sword King in a Fantasy World,https://chapmanganato.to/manga-gt984176,Chapter 152,Chapter 210
Reincarnated as the Mastermind of the Story,https://manganato.com/manga-rq994625,Chapter 14,Vol.4 Chapter 18
The Savior «Messiah» ~The former hero who saved another world beats the real world full of monsters~,https://chapmanganato.to/manga-qy994181,Chapter 37: Matters Concerning That Day,Chapter 38: Two Faces
Son's Retribution,https://chapmanganato.to/manga-ym1002047,Chapter 12,Chapter 13
Return Of The Shattered Constellation,https://chapmanganato.to/manga-my990307,Chapter 109,Chapter 115
The Magician Kunon Sees Everything,https://manganato.com/manga-oo991371,Chapter 3,Chapter 11
Moon Slayer,https://manganato.com/manga-ta997135,Chapter 42,Chapter 50
Insanely Talented Player,https://chapmanganato.to/manga-vr998974,Chapter 44,Chapter 46
"A Court Magician, Who Was Focused On Supportive Magic Because His Allies Were Too Weak, Aims To Become The Strongest After Being Banished",https://chapmanganato.to/manga-oo991549,Chapter 73,Chapter 124
"My S-Rank Party Fired Me for Being a Cursificer ~ I Can Only Make “Cursed Items”, but They're Artifact Class!",https://chapmanganato.to/manga-ow991505,Vol.1 Chapter 5: Mayhem In The Palace,Chapter 34.3
Demon Instructor at the Royal Academy of Magic,https://manganato.com/manga-qd994012,Chapter 13,Chapter 14
I am the Strongest Boss,https://manganato.com/manga-wo1000097,Chapter 12,Chapter 23
